text,career
predictive modeling with python and r,Data Scientist
i love doing stats and building machine learning models,Data Scientist
data manipulation using pandas numpy and scikit-learn,Data Scientist
math statistics algorithms and heavy python scripting,Data Scientist
big data processing spark hadoop machine learning,Data Scientist
python machine learning data science pandas numpy statistics deep learning sql,Data Scientist
python machine learning data science pandas numpy statistics deep learning sql,Data Scientist
python machine learning data science pandas numpy statistics deep learning sql,Data Scientist
python machine learning data science pandas numpy statistics deep learning sql,Data Scientist
python machine learning data science pandas numpy statistics deep learning sql,Data Scientist
training large language models and nlp,AI Engineer
computer vision opencv deep learning keras,AI Engineer
i build neural networks using tensorflow,AI Engineer
creating ai agents chatbots and generative ai using python,AI Engineer
optimizing deep learning models for inference,AI Engineer
backend software architecture c# .net core,Software Developer
writing high performance c++ code and system design,Software Developer
i am a programmer who loves solving dsa problems,Software Developer
full lifecycle software engineering java spring,Software Developer
building scalable microservices backend coder,Software Developer
building responsive websites with tailwind and js,Web Developer
i am a frontend coder focusing on react and nextjs,Web Developer
html css javascript dom manipulation and animations,Web Developer
creating web applications typescript nodejs frontend,Web Developer
full stack web coding vuejs and express,Web Developer
ios development using swift and xcode,App Developer
building cross platform apps with react native,App Developer
mobile application lifecycle android studio kotlin,App Developer
i want to make smartphone apps using flutter,App Developer
publishing apps to the app store and play store,App Developer
creating dashboards in tableau and powerbi,Data Analyst
cleaning messy excel sheets and making pivot tables,Data Analyst
sql queries for business intelligence and reporting,Data Analyst
i like visualizing data trends using python and matplotlib,Data Analyst
finding business insights from large datasets analytics,Data Analyst
threat hunting malware analysis and cryptography,Cyber Security Analyst
i do bug bounties and penetration testing,Cyber Security Analyst
infosec compliance vulnerability scanning,Cyber Security Analyst
defending networks against ddos and hackers kali,Cyber Security Analyst
incident response security operations center soc,Cyber Security Analyst
